fertilizer-to-water map:
152178464 250673346 55422
152233886 237175480 13497866
3154188384 1047083609 4715554
3582007164 1051799163 5818075
3259979115 2494521724 322028049
402907232 308602731 62253347
4236473989 2233392950 58493307
2707774309 1208011821 30397527
3587825239 2917624950 58473157
896622971 631491687 63460153
465160579 250728768 57873963
165731752 0 237175480
2439165 370856078 149739299
3074181106 3899730566 80007278
3059559654 1999627040 14621452
1312214893 3041353489 50783396
960083124 694951840 352131769
2680544515 1972397246 27229794
631491687 1238409348 57882415
3646298396 3092136885 387540126
2592786348 2014248492 87758167
1513392872 3479677011 420053555
2509534881 1681896910 83251467
0 520595377 2439165
2738171836 1352203735 287691765
1362998289 1057617238 150394583
3158903938 2816549773 101075177
4033838522 2291886257 202635467
1933446427 1296291763 55911972
689374102 1765148377 207248869
2152304019 1639895500 42001410
1989358399 2135702712 97690238
3025863601 2102006659 33696053
2087048637 2976098107 65255382
2194305429 3979737844 315229452
