humidity-to-location map:
2245504116 1166524785 164267337
2409771453 1729601904 604997365
120247692 2545941209 34587342
3116311219 3036964896 76986730
1512620570 0 147162638
3512343576 4259469787 35497509
1169583301 1336067922 123578155
3921210971 3312190478 126745070
2181345242 2427978815 64158874
0 1459646077 120247692
4223038352 3474502707 71928944
779681654 1579893769 149708135
3894412843 3962661335 26798128
1659783208 1330792122 5275800
500368604 393220323 51352254
3686138511 3754387003 208274332
632498588 2492137689 53803520
1135055763 147162638 34527538
686302108 2334599269 93379546
551720858 2731943364 80777730
306544451 181690176 42409340
4115726396 3237074496 75115982
3547841085 4014859186 138297426
3080744060 3438935548 35567159
1293161456 2812721094 202047724
929389789 960858811 205665974
4190842378 3113951626 32195974
1736823657 516337226 444521585
154835034 224099516 151709417
3036964896 3614528274 43779164
1495209180 375808933 17411390
1665059008 444572577 71764649
348953791 2580528551 151414813
3299611124 3546431651 68096623
3421416680 3146147600 90926896
4047956041 3989459463 25399723
3367707747 3700678070 53708933
4073355764 3658307438 42370632
3193297949 4153156612 106313175
