light-to-temperature map:
70532163 2072528772 6548798
4144686847 1559382043 150280449
54527625 2056524234 16004538
3807793247 2758133633 336893600
650952420 859025504 83666107
1904509744 3183659444 2786814
780330456 3472688125 531542959
77080961 54527625 154573827
2350216539 1865381176 99600417
3084022977 1715376404 150004772
2107664798 4058224014 213619824
1773073526 793980359 19333216
231654788 2452888407 305245226
3781460885 2030191872 26332362
2939630982 2331937347 79772249
560023472 1070561556 50945056
2478552333 1313852724 245529319
3234027749 526405562 267574797
536900014 4271843838 23123458
1873309968 1709662492 5713912
1879023880 2427402543 25485864
2724081652 2116388017 215549330
1922425580 2079077570 37310447
734618527 813313575 45711929
1702870875 971426988 70202651
3019403231 3186446258 64619746
3767451847 4044214976 14009038
3575105735 1121506612 192346112
1959736027 3324759354 147928771
1792406742 2411709596 15692947
1808099689 1964981593 65210279
1907296558 3095027233 15129022
1311873415 209101452 317304110
2449816956 942691611 28735377
610968528 4004231084 39983892
2321284622 1041629639 28931917
3501602546 3110156255 73503189
1629177525 3251066004 73693350
