seed-to-soil map:
2025334497 3876763368 16729580
1877945250 2032519622 95086460
0 679167893 381174930
717319608 469672599 20842400
1677700339 1823837909 22353530
634816620 1372848321 73458998
2756794066 2812828157 182758452
3324095721 3392359690 456362171
969898963 32396659 196640650
1973031710 2127606082 52302787
4095486882 3893492948 33982348
381174930 591894131 9141137
3247991211 2466896352 76104510
1645303680 0 32396659
3023330013 4070306098 224661198
2329063131 1900645524 131874098
2042064077 3115509825 242853312
969753308 1446307319 145655
4214866116 3035408645 80101180
589310441 1846191439 28201780
4129469230 2811864212 963945
510217282 1276450763 79093159
2989333460 3358363137 33996553
3780457892 2179908869 286987483
738162008 229037309 231591300
2460937229 3927475296 26993487
1205326488 1547352475 237698559
2487930716 2543000862 268863350
4170255211 3998614525 21910631
1543924548 490514999 101379132
1443025047 1446452974 100899501
2939552518 4020525156 49780942
2284917389 3954468783 44145742
617512221 1355543922 17304399
4067445375 3848721861 28041507
1166539613 1785051034 38786875
708275618 460628609 9043990
390316067 1156549548 119901215
4192165842 1877945250 22700274
4130433175 2995586609 39822036
1700053869 601035268 78132625
1778186494 1060342823 96206725
