soil-to-fertilizer map:
0 2341619969 92369762
1167455233 3617741643 38094704
1499102298 1681004272 234557927
3376581938 2517836559 179214694
2914723756 619913619 149410902
161434282 0 41510814
3649464352 3314750891 40779782
2317356783 1915562199 186244783
713485962 950249988 47781849
421834722 1125088099 56442466
2507552861 3655836347 34407787
3565617524 2433989731 83846828
2678581348 103843947 189846804
995696604 565539077 54374542
410018942 2894022626 11815780
938203483 303511643 57493121
586429700 998031837 127056262
3064134658 1533041508 147962764
2219062401 2305658720 35961249
2050866563 393391944 168195838
3803001923 4143671264 151296032
814953468 2101806982 123250015
1050071146 1508839376 17695066
2629883889 1526534442 6507066
92369762 3199390767 69064520
3212097422 3355530673 164484516
4049139793 3803001923 245827503
2541960648 3549487250 55536061
2255023650 41510814 62333133
478277188 842097476 108152512
213047569 2697051253 196971373
3954297955 4048829426 48488938
4002786893 4097318364 46352900
1733660225 1181530565 317206338
2649109287 3520015189 29472061
2636390955 3605023311 12718332
2503601566 561587782 3951295
202945096 1498736903 10102473
1140539167 2278742654 26916066
3555796632 293690751 9820892
1205549937 2905838406 293552361
1067766212 769324521 72772955
2597496709 361004764 32387180
761267811 2225056997 53685657
2868428152 3268455287 46295604
