temperature-to-humidity map:
2698939019 1899653215 333343198
636293562 2781983613 635230295
3050376312 0 239799964
92201313 2779048878 2934735
3290176276 2660814640 25026650
2134083411 2489247727 2136257
3851297241 3604655691 314442217
1483568567 866597732 152309188
333293267 1018906920 303000295
0 2685841290 1438147
1635877755 2687279437 53836876
3032282217 2471153632 18094095
26400590 1558914368 65800723
1271523857 1346869658 212044710
2136219668 239799964 524786786
2661006454 2741116313 37932565
1859145287 1624715091 274938124
1689714631 2491383984 169430656
1438147 1321907215 24962443
3315202926 764586750 102010982
95136048 2232996413 238157219
3604655691 3919097908 90929169
3695584860 4010027077 155712381
