water-to-light map:
2953662638 2442860750 178173989
1541545030 2734817557 190358536
754320741 167246313 76339023
1856345147 4205331132 89636164
4252036650 1935658232 42930646
155447228 526835738 21442665
854896092 243585336 283250402
1353462278 548278403 77281269
3280902948 2925176093 9989800
1430743547 1124319386 47116063
3675997643 3263466919 126502268
3189943537 3895004042 77007091
3439702455 2103030459 136553424
1836535231 2083220543 19809916
1207650119 1274680470 145812159
2726058004 2958658296 227604634
3131836627 4078001241 58106910
3290892748 4136108151 65420425
1138146494 74127343 49701217
320969084 0 74127343
3356313173 4038105259 39895982
2313549351 2239583883 7585248
3908092261 2247169131 195691619
205670012 625559672 115299072
830659764 1100083058 24236328
3424990872 3972011133 14711583
80982326 1171435449 74464902
3576255879 1835916468 99741764
176889893 1245900351 28780119
395096427 740858744 359224314
2533259155 1541545030 192798849
3396209155 2706035840 28781717
1945981311 4201528576 3802556
0 123828560 23615345
3802499911 3789411692 105592350
1949783867 3986722716 51382543
2509766752 2935165893 23492403
4167035549 2621034739 85001101
23615345 1420492629 57366981
3266950628 3249514599 13952320
1731903566 1978588878 104631665
2211976762 1734343879 101572589
2001166410 3578601340 210810352
2321134599 3389969187 188632153
1187847711 147443905 19802408
4103783880 3186262930 63251669
